track_id,track_name,track_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7K7MUBCnzgBAvMVW2RTWN,Body (feat. brando),Loud Luxury,0.752,0.764,1,-4.399,1,0.038,0.0476,0.0000944,0.0543,0.582,121.958,163216,4
7GX5flRQZVHRAGd6B4TmD,XO TOUR Llif3,Lil Uzi Vert,0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,182707,4
2ijef6ni2amuunRoKTlgw,Sin Pijama,Becky G,0.791,0.745,11,-3.695,0,0.0464,0.354,0.0000293,0.104,0.82,94.014,188560,4
2BgEsaKNfHUdlh97KmvFy,2002,Anne-Marie,0.697,0.683,1,-2.881,0,0.117,0.0372,0,0.137,0.603,96.133,186987,4
0TlLq3lA83rQOYtrqBqSc,Nonstop,Drake,0.912,0.412,7,-8.074,1,0.124,0.0164,0.013,0.104,0.422,154.983,238614,4
7AQim7LbvFVZJE3O8TYgf,Fuck Love (feat. Trippie Redd),XXXTENTACION,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,146520,4
2QZ7WLBE8h2y1Y5Fb8RYb,In My Blood,Shawn Mendes,0.622,0.712,5,-7.321,1,0.066,0.0573,0,0.13,0.487,140.025,211360,4
7vGuf3Y35N4wmASOKLUVV,Silence,Marshmello,0.52,0.761,4,-3.093,1,0.0853,0.256,0.00000496,0.17,0.286,141.971,180823,4
5OCJzvD7sykQEKHH7qAC3,God is a woman,Ariana Grande,0.602,0.658,1,-5.934,1,0.0558,0.0233,0.00006,0.237,0.268,145.031,197547,4
1j6xOGusnyXq3l6IryKF3,D?jala que vuelva (feat. Manuel Turizo),Piso 21,0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,220117,4
66BjcDhhwWCcQIBxHMpKX,Flames,David Guetta,0.631,0.649,5,-5.892,0,0.0385,0.0817,0.0000038,0.0934,0.421,93.95,194680,4
0WdGQhoAP2LBsqr5Jhit2,What Lovers Do,Maroon 5,0.799,0.597,5,-5.131,0,0.0611,0.0788,0.00000566,0.1,0.419,110.001,199849,4
4w8niZpiMy6qz1mntFA5u,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,0.841,0.798,1,-4.206,0,0.229,0.153,0.00000333,0.0618,0.591,95.948,212500,4
5Gu0PDLN4YJeW75PpBSg9,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,0.663,0.708,8,-4.154,1,0.0473,0.0337,0,0.0841,0.742,103.073,174800,4
6QgjcU0zLnzq5OrUoSZ3O,Feel It Still,Portugal. The Man,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,4
77UjLW8j5UAGAGVGhR5oU,Pray For Me (with Kendrick Lamar),The Weeknd,0.735,0.677,2,-4.979,1,0.093,0.0762,0.0000217,0.111,0.188,100.584,211440,4
6n4U3TlzUGhdSFbUUhTvL,Walk It Talk It,Migos,0.909,0.628,2,-5.456,1,0.201,0.0739,0,0.108,0.406,145.905,276147,4
5k38wzpLb15YgncyWdTZE,Him & I (with Halsey),G-Eazy,0.589,0.731,2,-6.343,1,0.0868,0.0534,0,0.308,0.191,87.908,268867,4
32lItqlMi4LBhb4k0BaSa,Candy Paint,Post Malone,0.67,0.654,4,-5.944,1,0.153,0.627,0.00000102,0.071,0.438,180.024,227533,4
3a1lNhkSLSkpJE4MSHpDu,Congratulations,Post Malone,0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,220293,4
4QtiVmuA88tPQiCOHZuQ5,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,0.792,0.895,1,-3.112,0,0.0589,0.165,0,0.0501,0.794,94.968,201526,4
6Za3190Sbw39BBC77WSS1,Criminal,Natti Natasha,0.814,0.813,2,-3.023,0,0.0561,0.03,0.0000933,0.255,0.839,79.997,232550,4
1ZAyjvIk9YiD76yYy0TEG,Plug Walk,Rich The Kid,0.876,0.519,11,-6.531,1,0.143,0.202,0,0.108,0.158,94.981,175230,4
0u2P5u6lvoDfwTYjAADbn,lovely (with Khalid),Billie Eilish,0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,200186,4
2UVbBKQOdFAekPTRsnkzc,Stir Fry,Migos,0.815,0.816,2,-5.474,1,0.269,0.00299,0,0.159,0.498,181.967,190288,4
7KXjTSCq5nL1LoYtL7XAw,HUMBLE.,Kendrick Lamar,0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,0.421,150.011,177000,4
48zFZh27QU5qsrBjn4C2F,Vaina Loca,Ozuna,0.754,0.805,6,-4.249,1,0.0752,0.315,0,0.203,0.555,93.983,176133,4
1bhUWB0zJMIKr9yVPrkEu,Perfect Duet (Ed Sheeran & Beyonc?),Ed Sheeran,0.587,0.299,8,-7.365,1,0.0263,0.779,0,0.123,0.356,94.992,259550,3
5cepAtqnEQ6yVG6088zMM,Coraz?n (feat. Nego do Borel),Maluma,0.722,0.738,9,-6.073,0,0.247,0.328,0.0000147,0.198,0.748,198.075,184720,4
5Z3GHaZ6ec9bsiI5Benrb,Young Dumb & Broke,Khalid,0.798,0.539,1,-6.351,1,0.0421,0.199,0.0000166,0.165,0.394,136.949,202547,4
5Y9fnynLlIvqtM710MHzf,S?guelo Bailando,Ozuna,0.855,0.664,9,-7.11,0,0.0607,0.165,0.0000397,0.0937,0.626,98.015,226800,4
3Ga6eKrUFf12ouh9Yw3v2,Downtown,Anitta,0.775,0.679,4,-4.985,0,0.135,0.18,0.0000726,0.068,0.619,166.008,193456,4
3xcCix7Jv1Rp90YVmgo35,Bella,Wolfine,0.909,0.493,3,-6.688,1,0.0735,0.128,0.000147,0.127,0.844,94.016,197120,4
5N5k9nd479b1xpDZ4usjr,Promises (with Sam Smith),Calvin Harris,0.781,0.768,11,-5.991,1,0.0394,0.0119,0.00000491,0.325,0.486,123.07,213309,4
6vN77lE9LK6HP2DewaN6H,Yes Indeed,Lil Baby,0.964,0.346,5,-9.309,0,0.53,0.035,0,0.108,0.562,119.958,142273,4
2P91MQbaiQOfbiz9VqhqK,I Like Me Better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,0.00000255,0.104,0.419,91.97,197437,4
2xGjteMU3E1tkEPVFBO08,This Is Me,Keala Settle,0.284,0.704,2,-7.276,1,0.186,0.00583,0.000115,0.0424,0.1,191.702,234707,4
3GVkPk8mqxz0itaAriG1L,Everybody Dies In Their Nightmares,XXXTENTACION,0.734,0.57,7,-7.066,0,0.133,0.847,0.0000214,0.112,0.689,129.953,95467,4
630sXRhIcfwr2e4RdNtjK,Rewrite The Stars,Zac Efron,0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,217440,4
2xmrfQpmS2iJExTlklLoA,I Miss You (feat. Julia Michaels),Clean Bandit,0.638,0.658,3,-6.318,1,0.0456,0.245,0.00000377,0.0919,0.33,105.076,205748,4
5WvAo7DNuPRmk4APhdPzi,No Brainer,DJ Khaled,0.552,0.76,0,-4.706,1,0.342,0.0733,0,0.0865,0.639,135.702,260000,5
1j4kHkkpqZRBwE0A4CN4Y,Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,11,-6.593,0,0.039,0.101,0.00000127,0.106,0.0967,180.043,239000,4
3EPXxR3ImUwfayaurPi3c,Be Alright,Dean Lewis,0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,196373,4
